YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,DEP_DEL15,ARR_DEL15
2022,NOV,29,Tuesday,Southwest Airlines,LAS,"Las Vegas, NV",DEN,"Denver, CO",1,1
2022,AUG,17,Wednesday,Delta Air Lines,LEX,"Lexington, KY",ATL,"Atlanta, GA",0,0
2022,OCT,21,Friday,Endeavor Air,CLE,"Cleveland, OH",LGA,"New York, NY",0,0
2022,SEP,7,Wednesday,American Airlines,DFW,"Dallas/Fort Worth, TX",FLL,"Fort Lauderdale, FL",0,0
2023,JAN,19,Thursday,SkyWest Airlines,VEL,"Vernal, UT",DEN,"Denver, CO",0,0
2023,MAY,8,Monday,United Air Lines,MDT,"Harrisburg, PA",ORD,"Chicago, IL",0,0
2023,MAY,18,Thursday,American Airlines,PHX,"Phoenix, AZ",SAN,"San Diego, CA",1,1
2023,MAR,6,Monday,Hawaiian Airlines,HNL,"Honolulu, HI",OGG,"Kahului, HI",1,1
2023,MAY,18,Thursday,American Airlines,MRY,"Monterey, CA",DFW,"Dallas/Fort Worth, TX",0,1
2023,JUN,24,Saturday,Southwest Airlines,MKE,"Milwaukee, WI",BNA,"Nashville, TN",0,0
2022,OCT,19,Wednesday,Southwest Airlines,BUR,"Burbank, CA",LAS,"Las Vegas, NV",0,0
2022,OCT,11,Tuesday,Hawaiian Airlines,OAK,"Oakland, CA",HNL,"Honolulu, HI",0,0
2023,FEB,10,Friday,American Airlines,LAX,"Los Angeles, CA",PHX,"Phoenix, AZ",1,1
2023,JUL,6,Thursday,Delta Air Lines,MCO,"Orlando, FL",ATL,"Atlanta, GA",0,0
2023,FEB,7,Tuesday,Spirit Air Lines,MCO,"Orlando, FL",CLE,"Cleveland, OH",0,0
2022,NOV,17,Thursday,JetBlue Airways,MCO,"Orlando, FL",BOS,"Boston, MA",0,0
